A97-1020.pdf,This paper presents a new approach to automatic language learning that is based on natural language processing techniques.,0,This paper presents a new approach for automatic language learning.,0,This paper presents a new approach for automatic language learning.,0,
,"The approach is based on a modular architecture that connects modules for morphological analysis and disambiguation, dictionary access, and (indexed) corpora search with an output module.",1,"The approach is based on a combination of natural language processing techniques, especially morphological processing and corpora analysis, to the technology for intelligent computerassisted language learning.",1,The proposed approach is based on a combination of morphological processing and corpora analysis.,1,
,"The core modules provide the information noted in Section 1, 1-3, and provide the information provided by the user.",0,"The key idea is to use a dictionary to extract morphological information, and then use it to generate a dictionary for reading.",1,The main idea is to use a dictionary to extract morphological information from a bilingual English/Bulgarian dictionary.,0,
,The demonstrators run on both UNIX and Windows '95.,1,The approach is evaluated on both UNIX and Windows 95.,1,"Then, the dictionary is searched using a supervised learning algorithm.",0,
,"The demonstrators have been tested by students, but they might also be put to use to support reading directly by people who are not engaged in formal language instruction.",1,The results show that the proposed approach is able to support reading of essentially all non-specialized texts.,1,The experiments show that the proposed approach is able to support reading of essentially all non-specialized texts.,1,
,We describe a method for automatically removing the tedium of dictionary use from intermediate language learning.,0,The approach is tested on both UNIx and Windows 95.,1,,,
,"We describe morphological analysis, bilingual dictionary entry, and an audible pronunciation module.",1,,,,,
,We present a new approach to automatic morphological analysis for intermediate language learners.,1,This paper presents a new approach for automatic linguistic processing for intermediate language learners.,1,This paper presents a new approach for automatic language learning.,1,
,"The approach is based on a combination of a morphological analysis module, a dictionary access module, and a disambiguated corpus search module.",1,"The approach is based on a morphological analysis of the word, a dictionary entry, and a disambiguation of the word.",1,The proposed approach is based on a combination of morphological processing and corpora analysis.,1,
,"The core modules provide the information noted in Section 1, 1-3, and provide the information provided by the user.",0,The approach is evaluated on both UNIX and Windows 95.,1,The main idea is to use a dictionary to extract morphological information from a bilingual English/Bulgarian dictionary.,0,
,The resulting demonstrators run on both UNIX and Windows '95.,1,The results show that the proposed approach is able to support reading of essentially all non-specialized texts.,1,"Then, the dictionary is searched using a supervised learning algorithm.",0,
,"The demonstrators run on a variety of languages, including English, Spanish, French, English, Hungarian, French, and German.",1,The approach is tested on both UNIx and Windows 95.,1,The experiments show that the proposed approach is able to support reading of essentially all non-specialized texts.,1,
,"The demonstrators have been tested by students, but they might also be put to use to support reading directly by people who are not engaged in formal language instruction.",1,,,,,
,We describe a method for disambiguating a word in a bilingual English dictionary.,1,,,,,
C04-1035.pdf,We present a corpus-based investigation of sluices in the British National Corpus (BNC).,1,We present a corpus-based investigation of sluices in the British National Corpus (BNC).,1,This paper studies the problem of sluice classification in dialogue.,1,
,We use machine learning techniques to extract rules for classifying sluices into dialogue types and discuss the methodology we used in this study.,1,We use machine learning techniques to extract rules for classifying sluices into dialogue types and discuss the methodology we used in this study.,1,The authors use machine learning techniques to classify sluices into dialogue types.,1,
,We use heuristic principles for classifying each sluice dialogue type and formulate these principles as probability weighted Horn clauses.,1,"We use heuristic principles to classify sluices, and use them to classify a sluice into dialogue types.",1,The authors use a heuristic to classify a sluice into a dialogue type.,0,
,We use two machine learning algorithms to classify sluices.,1,We use a memory-based learning algorithm to classify arbitrary sluices.,1,The authors use two machine learning algorithms to classify arbitrary sluices.,1,
,"We use SLIPPER to classify a sluice into a dialogue type, and TiMBL to classify based on a memory-based learning procedure.",1,We use SLIPPER to classify based sluices and use it to classify lexical sluices from the BNC.,1,"The first one uses SLIPPER to classify gaussian sluices, and the second one uses a memory-based machine learning procedure to classify bounded sluices from a training set.",0,
